token	Value syntax count
{float}	297
{unit}	278
{text}	259
{[termID]}	83
{termLabel}	80
{integer}	70
{URL}	33
{PMID}	32
{DOI}	32
{period}	26
{Rn/start_time/end_time/duration}	26
{timestamp}	26
{boolean}	19
{PMID|DOI|URL}	16
{interval}	14
{term}	13
{version}	12
{software}	10
{duration}	10
{dna}	9
{parameters}	8
{percentage}	3
{TermLabel}	2
{term label}	2
{database}	2
{NCBI taxid}	2
{rank name}	2
{text|integer}	1
{day}	1
{term ID}	1
{measurement value}	1
{PID}	1
{reference}	1
{clustering method}	1
{AF cutoff}	1
{ANI cutoff}	1
{text|term}	1
