token	Value syntax count
{float}	297
{unit}	278
{text}	259
{[termID]}	83
{termLabel}	80
{integer}	70
{URL}	33
{PMID}	32
{DOI}	32
{period}	26
{timestamp}	26
{Rn/start_time/end_time/duration}	26
{boolean}	19
{PMID|DOI|URL}	16
{interval}	14
{term}	13
{version}	12
{duration}	10
{software}	10
{dna}	9
{parameters}	8
{percentage}	3
{database}	2
{term label}	2
{TermLabel}	2
{NCBI taxid}	2
{rank name}	2
{measurement value}	1
{term ID}	1
{reference}	1
{text|term}	1
{clustering method}	1
{AF cutoff}	1
{ANI cutoff}	1
{PID}	1
{text|integer}	1
{day}	1
